Draw to Race|draw-to-race.alvaris924.chatgpt.site/|draw-race.webp|游戏与协作|把涂鸦变成闯关角色|目录介绍将涂鸦变成赛车角色，跨越障碍到达终点。|参考用户画形状后，形状如何参与运动与障碍反馈。|涂鸦到物体的转换、碰撞规则、自动生成方式未验证。
Fishvj Ritual Live|fishvj-ritual-live.og397.chatgpt.site/|fishvj-ritual-live-og397-v2.webp|声音与表演|现场鱼群与曼荼罗视觉工具|目录介绍用于创建鱼形视觉和曼荼罗图案的 VJ 工具。|参考现场视觉的图案切换、参数面板和表演控制。|音频驱动、实时输入、输出分辨率和录制能力未验证。
Fluid Playground|fluid-playground.lunar-labs-7954.chatgpt.site/|fluid-playground-lunar-labs-7954-v2.webp|视觉场景|可交互的流体视觉游乐场|目录介绍可以操作的流体可视化实验。|参考输入扰动如何形成流动、扩散与颜色反馈。|求解算法、是否为二维流体、物理精度和性能未核查。
Flyway Surfer|flyway-surfer.lightningshiva1.chatgpt.site/|flyway.webp|游戏与协作|小飞虫的铁路跑酷|目录介绍铁路场景中的飞虫跑酷，并提供实验性自动驾驶。|参考追逐镜头、障碍反馈与手动或自动控制的切换。|自动驾驶算法、避障质量、关卡与输入操作未实测。
ForestRide|forestride.aracos.chatgpt.site/|forestride-aracos-v2.webp|视觉场景|沿森林公路轻松巡游|目录介绍沿无限森林道路行驶并切换观察视角。|参考道路延伸、植被层次、驾驶镜头与连续运动的衔接。|道路生成、资源循环复用、驾驶规则和长时间稳定性未核查。
Generating a Renaissance|generating-a-renaissance.thearchivr.chatgpt.site/|generating-a-renaissance-thearchivr-v2.webp|内容与叙事|用交互视觉讲述一篇文章|目录介绍联系技术、自然材料、创造力与人类体验的视觉文章。|参考文字阅读节奏、章节组织和视觉转场。|论述依据、互动实现和内容更新方式未核验。
Gogh Strike|gogh-strike.petergostev.chatgpt.site/|gogh-strike-petergostev-v2.webp|游戏与协作|艺术家角色的彩色小镇颜料战|目录介绍选择著名艺术家角色，在彩色三维小镇中展开虚构颜料大战。|参考角色风格、小镇构图、投射反馈与游戏规则的组合。|角色动作、战斗规则、物理系统和素材许可未验证。
Golf Impact Lab|golf-impact-lab.austen114662.chatgpt.site/|golf-impact-lab-austen114662-v2.webp|交互学习|高尔夫击球实验|目录仅介绍这是 Austen Allred 分享的高尔夫击球实验。|可关注击球条件与结果如何呈现，作为运动实验界面的线索。|简介信息较少，具体控制、碰撞模型和教学准确性均待查看。
Gu Fa Bian Cheng|gu-fa-bian-cheng.noone183492761.chatgpt.site/|gu-fa-bian-cheng-noone183492761-v2.webp|内容与叙事|古法编程的幽默展览|目录介绍将编程想象成古代活动的幽默展览。|参考主题设定、文案与展览视觉共同构成叙事的方式。|具体展品交互、素材来源和制作方式未核查。
Gurgaon 3D Atlas|gurgaon-3d-atlas.cratorlabs-2435.chatgpt.site/|gurgaon-3d-atlas-cratorlabs-2435-v2.webp|空间导航|古尔冈城市三维图谱|目录介绍可探索古尔冈城市三维模型。|参考城市尺度、建筑密度、地标层级和地图镜头。|地理准确性、模型来源、信息标注及路线功能未验证。
Heavy Rotation Weekly|heavy-rotation-weekly.korevec.chatgpt.site/|heavy-rotation-weekly-korevec-v2.webp|声音与表演|每周独立音乐与响应视觉|目录介绍每周音乐精选，配合专辑封面、播放与响应式视觉效果。|参考专辑内容、播放控制与随音乐变化的视觉编排。|音频许可、播放来源、频谱驱动方式和每周更新机制未核查。
Hyderabad Bus Atlas|hyderabad-bus-atlas.brown-song-1633.chatgpt.site/|hyderabad-bus-atlas-brown-song-1633-v2.webp|空间导航|在地图里查海得拉巴公交线路|目录介绍在交互地图中查找当地公交路线。|参考线路筛选、站点关系和地图高亮如何服务查找。|线路数据来源、更新时间、换乘计算和定位功能未验证。
India Infra Map|india-infra-map.sunidhi-30.chatgpt.site/|india-infra-map-sunidhi-30-v2.webp|空间导航|基础设施项目与预算地图|目录介绍在地图中展示印度机场、铁路、公路项目及预算。|参考项目类别、地图位置与金额信息的对应展示。|预算口径、信息来源、更新日期和地图精度未核验。
Jelly Break|pocket-goblin.maplewashere.chatgpt.site/|pocket-goblin-maplewashere-v2.webp|视觉场景|果冻触感的解压小物|目录介绍软骰子、黏液、果冻按键等触感玩具。|参考按压、回弹、形变与声音怎样形成触感错觉。|是否使用软体求解、输入反馈、音效和手机体验未验证。
Jelly Hockey|jellyhockey.logicleaptech.chatgpt.site/|jellyhockey-logicleaptech-v2.webp|游戏与协作|软弹球拍的空气曲棍球|目录介绍软球拍、晃动物理与果冻对手的空气曲棍球。|参考弹性外观、碰撞反馈与对手行为如何融入熟悉玩法。|软体算法、对手策略、计分与游戏操作未实测。
Kokoro Japan Journeys|kokoro-japan-journeys.sarveshwar1986.chatgpt.site/|kokoro-japan-journeys-sarveshwar1986-v2.webp|内容与叙事|日本旅行网站样稿|目录介绍在 Codex 线下活动中制作的日本旅行网站演示。|参考目的地内容、旅行主题与页面层次的组织。|没有验证预订、真实行程、价格或旅行资料的准确性。
Leon Lin|leonxlnx-portfolio-2026.lexn8.chatgpt.site/|leonxlnx-portfolio-2026-lexn8-v2.webp|内容与叙事|个人作品集网站|目录介绍 Leon Lin 的个人作品集。|参考个人介绍、项目陈列和作品入口的呈现方式。|项目材料真实性、动态效果和联系方式功能未核查。
Living Operator|living-operator.lexn8.chatgpt.site/|living-operator-lexn8-v2.webp|声音与表演|会转身向电脑求助的三维角色|目录介绍与三维操作员交谈，角色再向自己的 AI 寻求回答。|参考对话等待状态、身体动作和道具交互如何组成表演。|未实际对话，模型调用、语音、动作驱动和会话保存未验证。
Make The Logo Bigger|make-the-logo-bigger.chasedimond903653.chatgpt.site/|make-the-logo-bigger-chasedimond903653-v2.webp|游戏与协作|把创意审批变成一分钟游戏|目录介绍在 60 秒内应对创意审批的小游戏。|参考倒计时、任务变化和行业幽默如何形成短时玩法。|审批规则、操作反馈、分数计算和重复可玩性未验证。
Mini Moto Park|mini-moto-park.chipchaunceytheonlyone.chatgpt.site/|mini-moto.webp|游戏与协作|越野摩托公园与跟随镜头|目录介绍车手自主竞赛、观察比赛和地形塑造。|与昨天已研究的原作相同，可对照赛道、镜头、车手能力和场景细节。|本次未重新测试；历史记录与当前版本可能不同，源码许可仍待核实。
Model History Timeline|model-history-timeline.blueemi99.chatgpt.site/|model-history-timeline-blueemi99-v2.webp|内容与叙事|模型发展历史时间轴|目录介绍按时间组织的 OpenAI 模型历史。|参考时间轴、事件层级和信息展开方式。|未核对发布日期、型号覆盖与内容更新，不作为模型事实依据。
Monad Ink|monad-ink.shadow654.chatgpt.site/|monad-ink-shadow654-v2.webp|交互学习|小型神经网络与链上运行实验|目录介绍尝试一个紧凑神经网络并探索链上运行。|参考模型计算如何被分步展示，以及实验输入和输出的组织。|未运行网络或连接钱包；链上执行、成本与模型效果未验证。
Moonlit Forge Studio|moonlit-forge-studio.op7418.chatgpt.site/|moonlit-forge-studio-op7418-v2.webp|内容与叙事|创意工作室作品展示|目录仅介绍 @op7418 分享的创意项目。|先作为视觉风格与作品展示线索收藏，具体实现需进入原站了解。|目录信息不足，不能据名称认定有创作编辑器或生产能力。
Morph Jelly Studio|morph-creature-lab.logicleaptech.chatgpt.site/|morph-creature-lab-logicleaptech-v2.webp|实用与创作|塑造彩色果冻生物|目录介绍调整果冻生物外形，并实验光线、材料和粒子运动。|参考形态参数、半透明材料与粒子效果的共同调节。|形变算法、可编辑范围、资产导出和生成方式未核查。
Murmuration|murmuration-sky.dtzy0808.chatgpt.site/|murmuration-sky-dtzy0808-v2.webp|声音与表演|让星星的位置变成音乐|目录介绍在夜空布置星星，并将位置转为音乐。|参考空间坐标到音高、节奏等音乐要素的映射思路。|具体映射规则、合成方式、保存与音乐导出未验证。
Museum of Mollick's Wild Stuff|mollick-wild-stuff-museum.biotichamster.chatgpt.site/|mollick-wild-stuff-museum-biotichamster-v2.webp|内容与叙事|带来源链接的 AI 实验博物馆|目录介绍汇集 Ethan Mollick 的 AI 实验与创意作品，并关联来源。|参考实验归档、作品分组和原始出处的组织。|未逐条核对作者归属、来源准确性和原作可访问性。
Night Parade|yokaicabinet.com/|yokaicabinet-com-v2.webp|内容与叙事|日本妖怪插画图鉴|目录介绍五位日本妖怪传说人物的插画图鉴。|参考图鉴叙事、角色差异与文字说明如何统一风格。|民俗信息、插画许可、动效和交互方式未核查。
No Moat|no-moat.petergyang.chatgpt.site/|no-moat-petergyang-v2.webp|游戏与协作|AI 行业题材的实验室经营游戏|目录介绍选择 AI 创始人角色并建设实验室的策略游戏。|参考角色选项、资源约束与事件怎样构成经营循环。|平衡性、资源模型、存档和完整流程未实测；不作现实行业分析。
Oath & Relic|oath-relic-living-journal.bradjr.chatgpt.site/|oath-relic-living-journal-bradjr-v2.webp|内容与叙事|可以展开的立体故事书|目录介绍展开互动纸质故事书，探索微型奇幻世界。|参考翻页、纸张结构与场景揭示怎样共同推进故事。|翻页实现、剧情分支、声音和素材制作方式未验证。
One Small Win|one-small-win-now.martin4010.chatgpt.site/|one-small-win-now-martin4010-v2.webp|实用与创作|按时间和精力给出下一小步|目录介绍根据可用时间、精力与当前需要，寻找小行动。|参考少量输入如何缩小选择范围，并给出具体行动建议。|推荐规则、是否调用模型、个性化效果与记录保存未验证。
Penalty Shootout King 26|penalty-shootout-king-26.ameymuke252003.chatgpt.site/|penalty-shootout-king-26-ameymuke252003-v2.webp|游戏与协作|与自适应门将进行点球对决|目录介绍向自适应 AI 门将射点球。|参考瞄准、踢球动作、扑救反馈与难度变化。|自适应方法与实际学习行为未核查，不能据 AI 一词判断使用大模型。
Pocketcraft|pocketcraft.danielkaplan0.chatgpt.site/|pocketcraft-danielkaplan0-v2.webp|游戏与协作|单手竖屏方块建造|目录介绍可单手操作的竖屏方块建造实验。|参考触屏建造、物品选择与狭窄屏幕上的视角控制。|触控手感、世界保存、建造规则与设备兼容性未验证。
Rill|rill.wojtekmaj.chatgpt.site/|rill-wojtekmaj-v2.webp|视觉场景|布置水流与石木的宁静流域|目录介绍由水、石头、植物和野生动物组成的可塑造流域。|参考水体、岸边植物与动物共同营造自然场景。|水流是否响应地形、编辑范围和生态行为未验证。
Second Touch|second-touch-soccer.logicleaptech.chatgpt.site/|second-touch-soccer-logicleaptech-v2.webp|游戏与协作|先布置跑位，再看双方行动|目录介绍规划足球跑动与传球，再同时观察两队运动。|参考路径编辑、动作时间线与多角色协同播放。|战术规则、对手行为、碰撞判定和动作合理性未验证。
Sketch Golf|sketch-golf.hogan94.chatgpt.site/|sketch-golf-hogan94-v2.webp|交互学习|让小语言模型用代码绘画的实验|目录将其介绍为教小语言模型用代码绘画的实验。|可关注代码、图像反馈和迭代结果如何一起展示。|名称与简介不直观对应，按目录原意收录；具体模型、训练和绘画流程未核查。
Snowblox|bossdemo.daniel-green.chatgpt.site/|bossdemo-daniel-green-v2.webp|游戏与协作|驾驶铲雪车清理场地|目录介绍在浏览器中驾驶铲雪车、调节铲板并清理冬季工地。|参考车辆工具、地表状态与操作反馈之间的联系。|积雪移除方式、碰撞模型、任务完成条件与驾驶操作未验证。
Starlight Goose Garden|starlight-goose-garden.maplewashere.chatgpt.site/|starlight-goose-garden-maplewashere-v2.webp|视觉场景|蘑菇村落中的音乐与生活互动|目录介绍探索蘑菇村、制作音乐、装饰小屋和喂鹅。|参考小型生活场景如何通过道具、声音和角色交互变得可探索。|装饰保存、音乐系统、角色行为和交互链未验证。
Sticker Party|sticker-party.jason1212.chatgpt.site/|sticker-party-jason1212-v2.webp|实用与创作|用贴纸制作彩色招牌|目录介绍用贴纸集合制作彩色标牌。|参考素材选择、拖放排版与轻量创作界面的组织。|贴纸许可、文字编辑、图片导出和保存恢复未验证。
Studio In Bricks|studio-in-bricks.rpn24.chatgpt.site/interior|studio-in-bricks-rpn24-v2.webp|空间导航|以三维方式参观创作者工作室|目录介绍 Roberto Nickson 工作室的交互式三维重建。|参考室内分区、家具比例、镜头距离和参观动线。|尺寸准确性、模型生成方式、漫游与物件交互未核查。
Tahoe Camp|tahoe-camp.thisiskevin.chatgpt.site/|tahoe-camp-thisiskevin-v2.webp|空间导航|在三维地图中筛选太浩湖营地|目录介绍带可用性筛选及英文选项的太浩湖营地地图。|参考地形、营地位置、信息卡片与条件筛选的结合。|营位是否实时、预约入口、数据来源与地图准确性未验证。
Terrene Atlas|terrene-atlas.meetpandya.chatgpt.site/|terrene-atlas-meetpandya-v2.webp|空间导航|昼夜光照下的交互地球仪|目录介绍精选旅程、多种地图视图和昼夜光照的交互地球。|参考全球尺度切换、地点导航与昼夜视觉表现。|地理数据、光照精度、旅程内容与导航交互未核查。
The Closet Index|the-closet-index.matijagrcic.chatgpt.site/|the-closet-index-matijagrcic-v2.webp|内容与叙事|按情绪与时长寻找电影|目录介绍按情绪、片长、受众及 Criterion Closet 访谈推荐查电影。|参考多条件筛选、推荐依据与内容卡片如何支持选择。|片库完整度、标签准确性、访谈出处与筛选效果未核验。
The Light Between|the-light-between.blueemi99.chatgpt.site/|the-light-between-blueemi99-v2.webp|声音与表演|交响乐与浏览器视觉演出|目录介绍 AI 创作交响乐配合浏览器可视化。|参考音乐段落、动态画面与整体情绪的协调。|音乐生成方式、频谱驱动、时间同步和素材许可未核查。
The Listening Café|listening-cafe-reverelia.momoyuyju.chatgpt.site/|listening-cafe.webp|声音与表演|可制作咖啡的三维听音空间|目录介绍三维咖啡馆、制作咖啡和楼上的唱片听音休息室。|参考室内漫游、操作小物、唱片内容与空间声音的结合。|制作流程、音频播放、上下层导航和保存状态未验证。
Tidetown|tidetown.logicleaptech.chatgpt.site/|tidetown-logicleaptech-v2.webp|实用与创作|随邻居变化的海滨小镇搭建|目录介绍建造并着色小镇，相邻建筑会随扩展发生适配。|参考邻接规则驱动的造型变化，以及建造与配色反馈。|邻接算法、可编辑范围、导出与场景保存未核查。
Tiny Planet Blob|tiny-planet-blob.gabe880160.chatgpt.site/|tiny-planet.webp|游戏与协作|小团子在微型星球上收集物品|目录介绍操控小团子在奇趣三维星球滚动，收集物品与乘客。|参考球面移动、贴地镜头、角色形变与收集反馈。|球面重力、碰撞规则、角色动画与关卡流程未验证。
Topological Rubik Synchronizer|topological-rubik-synchronizer.ela-dev-27.chatgpt.site/|topological-rubik-synchronizer-ela-dev-27-v2.webp|交互学习|可交互的拓扑魔方同步器|目录介绍交互式拓扑魔方同步器。|可关注多个视图如何同步表达状态与旋转关系。|目录解释有限，拓扑含义、同步规则和算法正确性未验证。
Transformer Architecture|transformer-architecture.petergostev.chatgpt.site/|transformer-architecture-petergostev-v2.webp|交互学习|并排观察模型架构|目录介绍 Transformer 与 DeepSeek 架构的并排三维可视化。|参考模块层级、连线、信息流与对照视图的表达。|架构版本、图示准确性、动态计算和技术论述未核验。
Vibe Code Kids|vibecodekids.com/|vibecodekids-com-v2.webp|交互学习|成人陪伴的儿童编程创意任务|目录介绍供儿童在成人指导下探索的编程挑战、项目点子和创意制作。|参考任务分级、示例引导与动手项目编排。|实际代码运行、课程质量、年龄适配和账号功能未核查。
Voxel Slot Car Racer|voxel-slot-car-racer.equipai.chatgpt.site/|voxel-slot-car-racer-equipai-v2.webp|游戏与协作|可调车辆与自建赛道的迷你赛车|目录介绍微型轨道赛车、车库调校和自定义赛道。|参考赛道编辑、车辆参数与比赛反馈如何结合。|轨道约束、调校模型、编辑保存与比赛流程未验证。
VT Code|vtcode.vinhnx.chatgpt.site/|vtcode-vinhnx-v2.webp|实用与创作|带代理控制线索的浏览器编程台|目录介绍浏览器编程工作区、WebMCP 控制及可选 VT Code 配对。|参考文件、代码编辑和代理操作入口的安排。|未配对外部工具，执行环境、WebMCP 接口及文件安全范围未验证。
Web Harmonium|web-harmonium.rajmayank-mrb.chatgpt.site/|web-harmonium-rajmayank-mrb-v2.webp|声音与表演|带乐谱编辑的浏览器风琴|目录介绍可演奏的风琴，支持西方记谱、Sargam 记谱与可编辑乐谱。|参考琴键输入、乐谱显示和声音反馈的对应关系。|音高准确性、记谱转换、乐谱导出与音频延迟未验证。
World Shiritori|world-shiritori.iori-2.chatgpt.site/|world-shiritori-iori-2-v2.webp|游戏与协作|全球共享的日语接龙|目录介绍带英文说明和实时全球词链的日语文字接龙。|参考多人状态、输入校验和规则说明如何服务协作游戏。|没有提交词语；实时同步、词汇校验、并发与内容管理未验证。
Zen Sandbox|zen-sandbox.mweaver999.chatgpt.site/|zen-sandbox-mweaver999-v2.webp|视觉场景|可塑造的数字枯山水沙园|目录介绍可塑造的冥想式数字沙园。|参考沙面纹路、工具笔触、石头布置与安静的操作节奏。|沙面变形实现、工具种类、场景保存与触控效果未验证。
